label	txt
1	手机很好，漂亮时尚，赠品一般
1	手机很好。包装也很完美，赠品也是收到货后马上就发货了
1	第一次在第三方买的手机 开始很担心 不过查一下是正品 很满意
1	很不错 续航好 系统流畅
1	不知道真假，相信店家吧
1	快递挺快的，荣耀10手感还是不错的，玩了会王者还不错，就是前后玻璃，
1	流很快，手机到手感觉很酷，白色适合女士，很惊艳！常好，运行速度快，流畅！
1	用了一天才来评价，都还可以，很满意
1	幻影蓝很好看啊，炫彩系列时尚时尚最时尚，速度快，配送运行?做活动优惠买的，开心?
1	快递速度快，很赞！软件更新到最新版。安装上软胶保护套拿手上不容易滑落。
0	手机出厂贴膜好薄啊，感觉像塑料膜。其他不能发表
0	用了一段时间，除了手机续航其它还不错。
0	做工一般
1	挺好的，赞一个，手机很好，很喜欢
0	手机还行，但是手机刚开箱时屏幕和背面有很多指纹痕迹，手机壳跟**在地上磨过似的，好几条印子。要不是看在能把这些痕迹擦掉，和闲退货麻烦，就给退了。就不能规规矩矩做生意么。还有送的都是什么吊东西，运动手环垃圾一比，贴在手机后面的固定手环还**是塑料的渡了一层银色，耳机也和图片描述不符，碎屏险已经注册，不知道怎么样。讲真的，要不就别送或者少送，要不，就规规矩矩的，不然到最后还让人觉得不舒服。其他没什么。
-1	手机整体还可以，拍照也很清楚，也很流畅支持华为。给一星是因为有缺陷，送的耳机是坏的！评论区好评太多，需要一些差评来提醒下，以后更加注意细节，提升质量。
0	前天刚买的，  看着还行， 指纹解锁反应不错。
1	高端大气上档次。
-1	各位小主，注意啦，耳机是没有的，需要单独买
0	外观不错，感觉很耗电啊，在使用段时间评价
1	手机非常好，很好用
-1	没有发票，图片与实物不一致
1	习惯在京东采购物品，方便快捷，及时开票进行报销，配送员服务也很周到！就是手机收到时没有电，感觉不大正常
1	高端大气上档次啊！看电影玩游戏估计很爽！屏幕够大！
1	手机美美哒，支持国产，续航也是可以的，大概1天是够用的，不知道吃鸡怎么样，
1	上手很舒服，功能强大，比水果机的性价比高多了，赞
1	给老婆买的，双十一优惠价，超值。
1	手机大小合适，我喜欢的类型，很薄，照相清晰度高，赞?
1	手机屏幕够大，吃鸡无压力，想入手的不必观望了下手吧。
-1	刚买没有一个月   指纹区域直接不管用了     还爱连屏    分辨率一般   其它都好
1	手感很好，反应灵敏，非常好
-1	手机是不是正品不确定后台说话是真不要脸。赠品膜没有次只有更次。耳机十元一只的。全******商家买东西真不能贪百二八十的一个耳机就差出来啦要不是双十一错过去啦绝对不能买她家的什么玩意。手机还发热都怀疑是改装的大家别上当**老板**商家最该死
1	手机收到，各方面效果都很好！很喜欢。希望国货越来越好！
-1	买了双11领劵就便宜300还不能保价
1	今天到手  用几天在评论
1	质量还不错的，用着还可以
0	机器不错，反应很快，颜值高，唯独不好的地方是没给我小礼品
1	打游戏各方面都可以   可以说性价比超级高了   狭长用着很舒服  手感也是棒棒的  喜欢  100分
1	非常漂亮，太喜欢了，给京东快递点个赞
1	是正品，老婆很喜欢！
-1	这款手机我之前就用过，感觉不错，所以就在京东上下单了，准备再入手一部，结果到货之后，手机充电口被使用过应该是退货的机子，找客服人员，客服人员不管，这态度也没谁了
1	产品不错，活动期间，第三方店的活动还是比较有特色。性价比稍高
-1	为什么相册里有一张29天前的照片？
1	特别棒  帮妈妈买的  她很喜欢
1	手机收到了，之前比较忙现在才来评价，外观没话说，很漂亮，系统也很流畅，就是用久了有点发烫，刚拿来的时候什么游戏都没开，就下载那些程序手机就开始烫了，别的都很好
1	还行，比我原来手机强多了。内存够大，不用再删删减减了
1	趁着双十一降价入手的，三天到速度挺快的，鲁大师跑过分了测过是新机，蛮不错的，用着也流畅
-1	手机有点卡，电池不耐用，充电好烫手，失望。
1	中国的荣耀，华为的荣耀，从荣耀7开始，满意至今
1	手感较好，包装完好，核对过是真货
0	屏幕不灵敏我也不知道是什么问题目前没有大问题
1	手机一直买华为，而且一直在京东网购，很方便，很好用~
-1	买到手就降价，真的可以，必须赞一个！
1	首先京东物流就是快，上午下单，傍晚就收到了，快！手机到手拿在手里沉淀淀的，打开速度挺快，屏幕显示很细腻，做工非常好，赞！
-1	垃圾基本发信息都发不出去
-1	耳塞都没有好失望啊，还是到实体店买好
-1	七天内无条件退换是骗人的，新手机就卡
-1	华为老问题，电池，相机，卡顿
1	手机速度很快，玩游戏也没有卡，比我想像中的要好。
1	是正品行货，值得信赖可以购买。
0	首先快递很给力~昨天下单今天就到了。感觉没什么毛病，支持华为~！
1	手机样式十分美观，用起来也很流畅，不错
1	东西没的说非常好，是给姐姐买的，原本在官方旗舰店都下好了单子。可这个店家突然打折瞬间撤掉端单子下了这一款。而且还送一年质保，好评。
1	质量杠杠的
0	手机还可以用了一天感觉很流畅各方面都不错就是我明明下的幻影蓝居然回来时幻影紫的想不通。过几天会追评的。嗯就这样吧。
